event_title,event_genres,line_up,place,starting_time,finishing_time,venue_information,event_location_details,event_ticket_types,ticket_price,location_identifier,location_address,remain_prices,image,data_date,url,Record ID,id,city,starting_day,free_entrance,latitud,longitud,district
VIDALOCA w/NEXT,"Underground, International, Tech house, Melodic House & Techno",Vidaloca,Tulum Valencia Art of Wild,2024-11-30 23:59:00,2024-12-01 07:00:00,More info soon!,NaN,"VIP BACKSTAGE, VIP GENERAL, VIP CABINA, Second Release, Backstage, First Release","10.0, 20.0, 30.0, 150.0, 300.0, 500.0","39.495178,-0.4032982","Av. de les Corts Valencianes, 58, Pobles de l'Oest, 46015 València, Valencia, España, Valencia, Spain","0.0, 10.0, 20.0, 30.0, 150.0, 300.0, 500.0",https://images.xceed.me/events/banners/vidaloca-w-next-valencia-xceed-53c0.jpg?w=600&fm=auto,2024-11-27,https://xceed.me/en/valencia/event/vidaloca-w-next--162462,recUiIMgsTyHG1LaB,recUiIMgsTyHG1LaB,Valencia,Saturday,True,39.495178,-0.4032982,Pobles de l'Oest
MINICLUB: SÁBADO 30 Tech House Session,"Underground, Urban, Tech house, Techno, Minimal","Pablo Say, Tony Ink, Bernna Prietto",Miniclub.,2024-11-30 23:59:00,2024-12-01 07:30:00,"MINICLUB Avda Blasco Ibañez, 111 Valencia. 00.00 - 07.30 Entrada gratuita 00.00-00.30h Entrada 20€ (2 consumiciones hasta las 03.00, después 1 consumición) Mesa VIP 140€ hasta las 03.00 (5 PAX), luego 160€","Miniclub is located in the area of Plaza Honduras, near Avenida Blasco Ibañez. Thursdays, Fridays and Saturdays sessions are characterized by the best of House,Tech House, Deep House and Techno music. This nightclub is a must go for clubbing and electronic music lovers. An immersive experience destined to change your perception of Nightlife!","Ticket, Guest List","0.0, 20.0","39.473504,-0.34454900000003","Avenida Blasco Ibañez, 111, Valencia, Spain","0.0, 20.0",https://images.xceed.me/events/banners/miniclub-sabado-30-tech-house-session-valencia-xceed-7e23.png?w=600&fm=auto,2024-11-27,https://xceed.me/en/valencia/event/miniclub-sabado-30-tech-house-session--173741,recYCdIL495TXO3hj,recYCdIL495TXO3hj,Valencia,Saturday,True,39.473504,-0.34454900000003,Algirós
Play 30.11.2024,"Hipster, Local, 90s - 00s, Reggaeton, Indie - Rock",NaN,Play Club,2024-11-30 23:59:00,2024-12-01 07:00:00,"Empieza 2024 como toca, jugando en casa! Todos los sábados en Play Club la mejor música indie, pop, rock y hits en nuestra sala principal y reggaeton y comercial en nuestra sala 2.","Situado en Ruzafa, uno de los barrios más de moda en Valencia, cuenta con dos salas: En la sala principal hits de indie, pop y rock y en la sala de arriba los viernes te encontrarás con los mejores éxitos del reggaeton actual y antiguo y la música más comercial. El Club se reserva el derecho de admisión",Ticket,12.0,"39.462588,-0.37752999999998","C/ Cuba, 8, Valencia, Spain",12.0,https://images.xceed.me/events/banners/play-051024-valencia-xceed-f1f7.jpg?w=600&fm=auto,2024-11-27,https://xceed.me/en/valencia/event/play-30112024--170667,recWTIX3civO2ZPOd,recWTIX3civO2ZPOd,Valencia,Saturday,False,39.462588,-0.37752999999998,l'Eixample
Jagger Club - TARDEO,"Hits, Pop Internacional",NaN,Jagger Club,2024-11-30 17:00:00,2024-11-30 22:30:00,ACCESO GRATIS Reserva de VIPS aquí.,"Jagger Pub is not just your typical pub, it is a venue with character and style that offers a club-like experience. Located in the heart of the city, it's the perfect place to enjoy timeless hits and a vibrant atmosphere. With its sleek and modern decor, Jagger Pub provides the perfect backdrop for a night out with friends. The expertly crafted cocktail menu and wide selection of drinks make it the ideal spot for those looking to start their night off with a bang. As the night progresses, the venue transforms into a full-on club, with top-notch DJs spinning the latest and greatest tracks to keep you moving all night long. Whether you're in the mood for dancing or just hanging out with friends, Jagger Pub is the place to be. Come and experience the electric atmosphere and unforgettable nights at Jagger Pub.",VIP NOCHE,100.0,"39.4660067,-0.3718288","Gran Via del Marqués del Túria, 23, Valencia, Spain",100.0,https://images.xceed.me/events/banners/jagger-club-tardeo-4-valencia-xceed-f4aa.jpg?w=600&fm=auto,2024-11-22,https://xceed.me/en/valencia/event/jagger-club-tardeo-4--171144,recaZAdtSuoTg5y6T,recaZAdtSuoTg5y6T,Valencia,Saturday,False,39.4660067,-0.3718288,l'Eixample
Jagger Club,"Hits, Pop Internacional",NaN,Jagger Club,2024-11-30 22:30:00,2024-12-01 03:30:00,ACCESO GRATIS Reserva de VIPS aquí.,"Jagger Pub is not just your typical pub, it is a venue with character and style that offers a club-like experience. Located in the heart of the city, it's the perfect place to enjoy timeless hits and a vibrant atmosphere. With its sleek and modern decor, Jagger Pub provides the perfect backdrop for a night out with friends. The expertly crafted cocktail menu and wide selection of drinks make it the ideal spot for those looking to start their night off with a bang. As the night progresses, the venue transforms into a full-on club, with top-notch DJs spinning the latest and greatest tracks to keep you moving all night long. Whether you're in the mood for dancing or just hanging out with friends, Jagger Pub is the place to be. Come and experience the electric atmosphere and unforgettable nights at Jagger Pub.",VIP NOCHE,120.0,"39.4660067,-0.3718288","Gran Via del Marqués del Túria, 23, Valencia, Spain",120.0,https://images.xceed.me/events/banners/jagger-club-167-valencia-xceed-bd2b.png?w=600&fm=auto,2024-11-22,https://xceed.me/en/valencia/event/jagger-club-192--171146,recHWZKafjhmFPVoK,recHWZKafjhmFPVoK,Valencia,Saturday,False,39.4660067,-0.3718288,l'Eixample
GiGi - 1 de diciembre,"Underground, LGBTQ+, 90s - 00s, Groove Techno, Trance","Sugar Mami, Waackengy, Ella pincha sola",Play Club,2024-12-01 18:00:00,2024-12-02 01:00:00,"If you were looking for a new party...¡Call 5-5-5-G-i-G-i! Brat summer is over pero tenemos la nueva fiesta que estabas manifestando, for the gays and the girls, no somos nada demure, somos avant-garde, somos sorry, but the look is with the shades, somos electro-pop, boiler room, somos electrónica de los 80 y remixes avanzados de 2038.","Situado en Ruzafa, uno de los barrios más de moda en Valencia, cuenta con dos salas: En la sala principal hits de indie, pop y rock y en la sala de arriba los viernes te encontrarás con los mejores éxitos del reggaeton actual y antiguo y la música más comercial. El Club se reserva el derecho de admisión","Ticket, Guest List","0.0, 9.0","39.462588,-0.37752999999998","C/ Cuba, 8, Valencia, Spain","0.0, 9.0",https://images.xceed.me/events/banners/gigi-20-de-octubre-valencia-xceed-c154.jpg?w=600&fm=auto,2024-11-27,https://xceed.me/en/valencia/event/gigi-1-de-diciembre--172942,recyYj9udsXcTlqjf,recyYj9udsXcTlqjf,Valencia,Sunday,True,39.462588,-0.37752999999998,l'Eixample
DOMINGO | WATEKE. Feel the sound in the city,Tech house,David Cabeza,La3,2024-12-01 22:00:00,2024-12-02 07:00:00,Wateke,"It’s been open for less than 10 years but La3 has quickly become one of the most iconic clubs in Valencia. This club boasts quality sound systems, which have recently been upgraded to the Funktion-One system. The club’s name comes from the 3 rooms within the club: Main Room, Oven Club y Sala2, which have hosted the most famous national and international artists such as Jeff Mills, Nina Kraviz, Laurent Garnier, Seth Troxler, 2manydjs, Vitalic and Flux Pavilion among many others. La3 is not only one of the best party clubs in Valencia but it is a meeting point for true music lovers. In terms of music, La3 is now adding more urban styles such as trap, R&B and hip-hop and the popular Friday night is adapting to the needs of its public, the young and cosmopolitan masses. To satisfy you on Saturday nights, there is a new event at the club called “Electric Saturdays”, where you can enjoy the best national and international techno and house DJs in any of the 3 rooms that the venue boasts. If La3 is known for something in particular, it’s because of its high quality music played weekend after weekend.","Bottle Service, Ticket, Guest List","0.0, 15.0, 19.0, 30.0","39.473577,-0.34458459999996","Avenida Blasco Ibanez 111, Valencia, Spain","0.0, 15.0, 19.0, 30.0",https://images.xceed.me/events/banners/watekefeel-the-sound-in-the-city-52-valencia-xceed-cdfa.jpg?w=600&fm=auto,2024-11-27,https://xceed.me/en/valencia/event/domingo-wateke-feel-the-sound-in-the-city-26--173550,recG2fBeV1C04epHp,recG2fBeV1C04epHp,Valencia,Sunday,True,39.473577,-0.34458459999996,Algirós
LUNES | Happy Mondays! ,"International, Urban, Hits",NaN,La3,2024-12-02 23:59:00,2024-12-03 07:00:00,happy Mondays! Every monday night @ La3,"It’s been open for less than 10 years but La3 has quickly become one of the most iconic clubs in Valencia. This club boasts quality sound systems, which have recently been upgraded to the Funktion-One system. The club’s name comes from the 3 rooms within the club: Main Room, Oven Club y Sala2, which have hosted the most famous national and international artists such as Jeff Mills, Nina Kraviz, Laurent Garnier, Seth Troxler, 2manydjs, Vitalic and Flux Pavilion among many others. La3 is not only one of the best party clubs in Valencia but it is a meeting point for true music lovers. In terms of music, La3 is now adding more urban styles such as trap, R&B and hip-hop and the popular Friday night is adapting to the needs of its public, the young and cosmopolitan masses. To satisfy you on Saturday nights, there is a new event at the club called “Electric Saturdays”, where you can enjoy the best national and international techno and house DJs in any of the 3 rooms that the venue boasts. If La3 is known for something in particular, it’s because of its high quality music played weekend after weekend.","Bottle Service, Ticket, Guest List","0.0, 10.0, 12.0, 18.0, 20.0","39.473577,-0.34458459999996","Avenida Blasco Ibanez 111, Valencia, Spain","0.0, 10.0, 12.0, 18.0, 20.0",https://images.xceed.me/events/banners/happy-mondays-pre-fallas-valencia-xceed-7c03.png?w=600&fm=auto,2024-11-27,https://xceed.me/en/valencia/event/lunes-happy-mondays-29--173551,recYEggMxlZYsJbKV,recYEggMxlZYsJbKV,Valencia,Monday,True,39.473577,-0.34458459999996,Algirós
MARTES | La3 International  Club! ,"International, Urban, Hits",NaN,La3,2024-12-03 23:59:00,2024-12-04 07:00:00,Tuesday Party!,"It’s been open for less than 10 years but La3 has quickly become one of the most iconic clubs in Valencia. This club boasts quality sound systems, which have recently been upgraded to the Funktion-One system. The club’s name comes from the 3 rooms within the club: Main Room, Oven Club y Sala2, which have hosted the most famous national and international artists such as Jeff Mills, Nina Kraviz, Laurent Garnier, Seth Troxler, 2manydjs, Vitalic and Flux Pavilion among many others. La3 is not only one of the best party clubs in Valencia but it is a meeting point for true music lovers. In terms of music, La3 is now adding more urban styles such as trap, R&B and hip-hop and the popular Friday night is adapting to the needs of its public, the young and cosmopolitan masses. To satisfy you on Saturday nights, there is a new event at the club called “Electric Saturdays”, where you can enjoy the best national and international techno and house DJs in any of the 3 rooms that the venue boasts. If La3 is known for something in particular, it’s because of its high quality music played weekend after weekend.","Bottle Service, Ticket, Guest List","0.0, 10.0, 12.0, 18.0, 20.0","39.473577,-0.34458459999996","Avenida Blasco Ibanez 111, Valencia, Spain","0.0, 10.0, 12.0, 18.0, 20.0",https://images.xceed.me/events/banners/la3-international-club-9-valencia-xceed-1949.jpg?w=600&fm=auto,2024-12-03,https://xceed.me/en/valencia/event/martes-la3-international-club-29--173553,recilbT4qgb0SHrXJ,recilbT4qgb0SHrXJ,Valencia,Tuesday,True,39.473577,-0.34458459999996,Algirós
MIÉRCOLES | Project 3! Welcome to the fraternity,"International, Urban, Hits",NaN,La3,2024-12-04 23:59:00,2024-12-05 07:00:00,Project 3! Welcome to the Fraternity,"It’s been open for less than 10 years but La3 has quickly become one of the most iconic clubs in Valencia. This club boasts quality sound systems, which have recently been upgraded to the Funktion-One system. The club’s name comes from the 3 rooms within the club: Main Room, Oven Club y Sala2, which have hosted the most famous national and international artists such as Jeff Mills, Nina Kraviz, Laurent Garnier, Seth Troxler, 2manydjs, Vitalic and Flux Pavilion among many others. La3 is not only one of the best party clubs in Valencia but it is a meeting point for true music lovers. In terms of music, La3 is now adding more urban styles such as trap, R&B and hip-hop and the popular Friday night is adapting to the needs of its public, the young and cosmopolitan masses. To satisfy you on Saturday nights, there is a new event at the club called “Electric Saturdays”, where you can enjoy the best national and international techno and house DJs in any of the 3 rooms that the venue boasts. If La3 is known for something in particular, it’s because of its high quality music played weekend after weekend.","Bottle Service, Ticket, Guest List","0.0, 10.0, 15.0, 20.0, 90.0","39.473577,-0.34458459999996","Avenida Blasco Ibanez 111, Valencia, Spain","0.0, 10.0, 15.0, 20.0, 90.0",https://images.xceed.me/events/banners/project-3-welcome-to-the-fraternity-21-valencia-xceed-af3f.jpg?w=600&fm=auto,2024-12-04,https://xceed.me/en/valencia/event/miercoles-project-3-welcome-to-the-fraternity-28--173555,recvVFshbqlcioth2,recvVFshbqlcioth2,Valencia,Wednesday,True,39.473577,-0.34458459999996,Algirós
 40º ANIVERSARIO: Azyr + Kander,"Underground, Hard Techno, Techno","AZYR, Kander",Spook Club,2024-12-05 22:00:00,2024-12-06 07:30:00,40 ANIVERSARIO Main: Azyr + Kander + DJ Badtrip + Everynation Sunbox / Total : ENGALANAN + YX3 + ARIEZZZ,"En 1984 sobre las cenizas de la discoteca San Francisco voló por primera vez el murciélago más emblemático de la noche. Abría Spook Factory, el templo de la música Valenciana. Un espacio para la experimentación sensorial que marcó un antes y un después en la historia del clubbing. Hoy Spook sigue siendo historia viva de Valencia, ofreciendo una programación musical de vanguardia nacional e internacional. Todos los sábados desde las 18:00h a las 7:30h tienes una cita con la música, la catarsis y la vanguardia. Bandas, Lives, Dj’s, Foodtrucks y mucho más. #TodosLosSabadosUnFestival.","EARLYBIRD TICKETS, TICKET BACKSTAGE, TICKET - RELEASE 1","20.0, 25.0, 40.0","39.410901,-0.33605499999999","Carretera del Rio, 399, Pinedo, Valencia, Spain","25.0, 28.0, 30.0, 40.0",https://images.xceed.me/events/banners/40-aniversario-hard-techno-techno-valencia-xceed-f2ab.png?w=600&fm=auto,2024-12-04,https://xceed.me/en/valencia/event/40-aniversario-azyr-kander--169227,recnJOvqe6Rgfp7Ci,recnJOvqe6Rgfp7Ci,Valencia,Thursday,False,39.410901,-0.33605499999999,Pobles del Sud
Bowie Show Disco - Be the Fucking Boss,"Live Show, Reggaeton, Hits, House",NaN,Bowie Show Discoteque,2024-12-05 23:59:00,2024-12-06 07:00:00,"**Bowie Show Disco** Un club con casi 50 años de historia, ícono de la vida nocturna más vibrante de Valencia. Fiel a su estética **Boite**, ha sido punto de encuentro para quienes buscan una experiencia única y transgresora. Hoy en día, Bowie destaca no solo por su privilegiada localización en pleno corazón de la ciudad, sino también por su propuesta atrevida y fiel a su público. Sus espectáculos incluyen artistas cuidadosamente seleccionados de los mejores cabarets y salas de espectáculos. Bowie es mucho más que un club: es la fusión perfecta entre el pasado, el presente y el futuro del **clubbing**.","Bowie Show Discotheque, the most vibrant club in downtown Valencia. At Bowie, we offer you a unique entertainment and music experience every weekend, with shows, animation, and performances that will keep you moving all night long. Additionally, our expert DJs play the best current and all-time hits, ensuring that the music never stops. At Bowie, the party never ends. Our modern decoration and vibrant atmosphere create an incomparable environment to enjoy a fun night out with friends. Our professional team ensures that you have the best experience at our discotheque, offering high-quality service and security for your peace of mind. Don't think about it anymore, come to Bowie and join the party. Discover why we are one of the most popular places for nightlife in Valencia. We're waiting for you! Bowie Show Discotheque, the most vibrant club in downtown Valencia. At Bowie, we offer you a unique entertainment and music experience every weekend, with shows, animation, and performances that will keep you moving all night long. Additionally, our expert DJs play the best current and all-time hits, ensuring that the music never stops. At Bowie, the party never ends. Our modern decoration and vibrant atmosphere create an incomparable environment to enjoy a fun night out with friends. Our professional team ensures that you have the best experience at our discotheque, offering high-quality service and security for your peace of mind. Don't think about it anymore, come to Bowie and join the party. Discover why we are one of the most popular places for nightlife in Valencia. We're waiting for you!","Bottle Service, Ticket","12.0, 220.0","39.4655443,-0.37091799999996","Carrer de Martí, 4, Valencia, Spain","12.0, 220.0",https://images.xceed.me/events/banners/bowie-show-disco-be-the-fucking-boss-3-valencia-xceed-3c11.jpg?w=600&fm=auto,2024-12-04,https://xceed.me/en/valencia/event/bowie-show-disco-be-the-fucking-boss-4--167308,recUQ7DYsMyI6aIdY,recUQ7DYsMyI6aIdY,Valencia,Thursday,False,39.4655443,-0.37091799999996,l'Eixample
Play 05.12.24,"Hipster, Local, 90s - 00s, Reggaeton, Electro",NaN,Play Club,2024-12-05 23:59:00,2024-12-06 07:00:00,"Arranca la nueva temporada en Play, sala renovada pero el mismo espíritu de siempre! Disfruta de los mejores hits de indie, rock, pop, electrónica y el toque justo de urban en nuestras dos pistas de baile!","Situado en Ruzafa, uno de los barrios más de moda en Valencia, cuenta con dos salas: En la sala principal hits de indie, pop y rock y en la sala de arriba los viernes te encontrarás con los mejores éxitos del reggaeton actual y antiguo y la música más comercial. El Club se reserva el derecho de admisión","Ticket, Guest List","0.0, 15.0","39.462588,-0.37752999999998","C/ Cuba, 8, Valencia, Spain","0.0, 15.0",https://images.xceed.me/events/banners/play-051224-valencia-xceed-9213.jpg?w=600&fm=auto,2024-11-27,https://xceed.me/en/valencia/event/play-051224--172945,recN3AUBVZ0nhwbtH,recN3AUBVZ0nhwbtH,Valencia,Thursday,True,39.462588,-0.37752999999998,l'Eixample
Jagger Club,"Hits, Pop Internacional",NaN,Jagger Club,2024-12-05 22:30:00,2024-12-06 03:30:00,ACCESO GRATIS Reserva de VIPS aquí.,"Jagger Pub is not just your typical pub, it is a venue with character and style that offers a club-like experience. Located in the heart of the city, it's the perfect place to enjoy timeless hits and a vibrant atmosphere. With its sleek and modern decor, Jagger Pub provides the perfect backdrop for a night out with friends. The expertly crafted cocktail menu and wide selection of drinks make it the ideal spot for those looking to start their night off with a bang. As the night progresses, the venue transforms into a full-on club, with top-notch DJs spinning the latest and greatest tracks to keep you moving all night long. Whether you're in the mood for dancing or just hanging out with friends, Jagger Pub is the place to be. Come and experience the electric atmosphere and unforgettable nights at Jagger Pub.",VIP NOCHE,100.0,"39.4660067,-0.3718288","Gran Via del Marqués del Túria, 23, Valencia, Spain",100.0,https://images.xceed.me/events/banners/jagger-club-146-valencia-xceed-81b5.jpg?w=600&fm=auto,2024-12-04,https://xceed.me/en/valencia/event/jagger-club-184--171738,recffdbQ5gclatZrc,recffdbQ5gclatZrc,Valencia,Thursday,False,39.4660067,-0.3718288,l'Eixample
40º ANIVERSARIO: 80s - 90s,"Underground, 70s - 80s, 90s - 00s",NaN,Spook Club,2024-12-06 17:00:00,2024-12-07 07:30:00,"DJs + bandas 80s-90s, pronto más información.","En 1984 sobre las cenizas de la discoteca San Francisco voló por primera vez el murciélago más emblemático de la noche. Abría Spook Factory, el templo de la música Valenciana. Un espacio para la experimentación sensorial que marcó un antes y un después en la historia del clubbing. Hoy Spook sigue siendo historia viva de Valencia, ofreciendo una programación musical de vanguardia nacional e internacional. Todos los sábados desde las 18:00h a las 7:30h tienes una cita con la música, la catarsis y la vanguardia. Bandas, Lives, Dj’s, Foodtrucks y mucho más. #TodosLosSabadosUnFestival.","TICKET - RELEASE 2, EARLYBIRD TICKETS, ZONA VIP, TICKET - RELEASE 1","25.0, 30.0, 35.0, 50.0","39.410901,-0.33605499999999","Carretera del Rio, 399, Pinedo, Valencia, Spain","30.0, 35.0, 50.0",https://images.xceed.me/events/banners/40-aniversario-80s-90s-valencia-xceed-9885.png?w=600&fm=auto,18/11/2024,https://xceed.me/en/valencia/event/40-aniversario-80s-90s--169228,recau70nBE4tBFhBJ,recau70nBE4tBFhBJ,Valencia,Friday,False,39.410901,-0.33605499999999,Pobles del Sud
ELENCO HOUSE Vol.XII by theBasement,"Underground, House",theBasement Soundsystem,Palau Alameda,2024-12-06 19:00:00,2024-12-07 04:00:00,"Estas Fallas, theBasement te trae un plan de sección especial. Tu vía de escape para disfrutar del mejor house de la ciudad, y al menos durante una noche evitar los ríos de gente, las verbenas pachangueras, y el olor a fluidos que reinan en Fallas. La pólvora la ponemos nosotros en formato sonoro. La primera edición de Elenco House llega a Palau Alameda el viernes de la semana fallera! Una ubicación privilegiada para la nueva aventura clubber que presentan los chicos del sótano. Garantía de musicón, baile y hermandad para los groovers más exigentes.","València tiene un nuevo lugar de encuentro, el espacio de ocio gastronómico Palau Alameda. 2.700 metros cuadrados de gastronomía, cultura y ocio Descubre nuestros espacios: Àtic, el restaurante panorámico La Sala, exclusivo espacio para eventos; Azza, un club que es el nuevo place-to-be de la ciudad.","POST PARTY FIRST RELEASE, FIRST RELEASE TICKETS, PARTY + POSTPARTY FIRST RELEASE","15.0, 20.0","39.4726846,-0.36280740000007","Carrer de l'Arquitecte Mora, 2, Valencia, Spain","15.0, 20.0",https://images.xceed.me/events/banners/elenco-house-volxii-by-thebasement-valencia-xceed-c6e5.png?w=600&fm=auto,2024-12-04,https://xceed.me/en/valencia/event/elenco-house-volxii-by-thebasement--157418,rectFDWD1MCTNSnlB,rectFDWD1MCTNSnlB,Valencia,Friday,False,39.4726846,-0.36280740000007,el Pla del Real
Play + Kiki 06.12.24,"Hipster, Local, 90s - 00s, Reggaeton, Electro",Sugar Mami,Play Club,2024-12-06 23:59:00,2024-12-07 07:00:00,"¡Arranca la nueva temporada de Play Club! Sala renovada y el espíritu de siempre! En la sala principal, Hits, indie, rock, pop y el toque justo de urban y en nuestra sala 2, Hottest in town, los eventos más innovadores y los DJs más experimentales. Este viernes con Kiki, tu fiesta favorita para perrear hasta el amanecer, las raxetas más auténticas y sólo reggaeton, del viejo al nuevo y del underground a los hits.","Situado en Ruzafa, uno de los barrios más de moda en Valencia, cuenta con dos salas: En la sala principal hits de indie, pop y rock y en la sala de arriba los viernes te encontrarás con los mejores éxitos del reggaeton actual y antiguo y la música más comercial. El Club se reserva el derecho de admisión","Ticket, Guest List","0.0, 15.0","39.462588,-0.37752999999998","C/ Cuba, 8, Valencia, Spain","0.0, 15.0",https://images.xceed.me/events/banners/play-kiki-251024-valencia-xceed-501e.jpg?w=600&fm=auto,2024-11-27,https://xceed.me/en/valencia/event/play-kiki-061224--172946,rec5n0Ey5ay5qJKXw,rec5n0Ey5ay5qJKXw,Valencia,Friday,True,39.462588,-0.37752999999998,l'Eixample
Verbena 06.12.2024,"Hipster, Local, 90s - 00s, Hits, Reggaeton",Ella pincha sola,Play Club,2024-12-06 18:00:00,2024-12-06 23:00:00,"¡Verbena! La fiesta de pueblo en la pista de Play vuelve para animar tus tardes de sábado: Reggaeton, pop, petardeo y todos los hits que te sabes de memoria, desde Estopa hasta La Oreja de Van Gogh pasando por Bad Bunny de la mano de nuestros DJs. Lista gratuita hasta las 19h, juegos, premios y picoteo dulce y salado.","Situado en Ruzafa, uno de los barrios más de moda en Valencia, cuenta con dos salas: En la sala principal hits de indie, pop y rock y en la sala de arriba los viernes te encontrarás con los mejores éxitos del reggaeton actual y antiguo y la música más comercial. El Club se reserva el derecho de admisión","Ticket, Reservado Botella, Dos Copas, Lista gratuita","0.0, 10.0, 15.0, 120.0","39.462588,-0.37752999999998","C/ Cuba, 8, Valencia, Spain","0.0, 10.0, 15.0, 120.0",https://images.xceed.me/events/banners/tardeo-230324-1-valencia-xceed-c8af.jpg?w=600&fm=auto,2024-12-04,https://xceed.me/en/valencia/event/verbena-06122024--172948,rechyWWrrkwUKWKrI,rechyWWrrkwUKWKrI,Valencia,Friday,True,39.462588,-0.37752999999998,l'Eixample
Jagger Club,"Hits, Pop Internacional",NaN,Jagger Club,2024-12-06 22:30:00,2024-12-07 03:30:00,ACCESO GRATIS Reserva de VIPS aquí.,"Jagger Pub is not just your typical pub, it is a venue with character and style that offers a club-like experience. Located in the heart of the city, it's the perfect place to enjoy timeless hits and a vibrant atmosphere. With its sleek and modern decor, Jagger Pub provides the perfect backdrop for a night out with friends. The expertly crafted cocktail menu and wide selection of drinks make it the ideal spot for those looking to start their night off with a bang. As the night progresses, the venue transforms into a full-on club, with top-notch DJs spinning the latest and greatest tracks to keep you moving all night long. Whether you're in the mood for dancing or just hanging out with friends, Jagger Pub is the place to be. Come and experience the electric atmosphere and unforgettable nights at Jagger Pub.",VIP NOCHE,120.0,"39.4660067,-0.3718288","Gran Via del Marqués del Túria, 23, Valencia, Spain",120.0,https://images.xceed.me/events/banners/jagger-club-97-valencia-xceed-24f3.jpg?w=600&fm=auto,2024-11-22,https://xceed.me/en/valencia/event/jagger-club-193--171740,recX9n8Wu1eN4IICF,recX9n8Wu1eN4IICF,Valencia,Friday,False,39.4660067,-0.3718288,l'Eixample
Bowie Show Disco - Be the Fucking Boss,"Live Show, Reggaeton, Hits, House",NaN,Bowie Show Discoteque,2024-12-06 23:59:00,2024-12-07 07:00:00,"Bowie Show Discotheque, el club más vibrante del centro de Valencia. En Bowie, te ofrecemos una experiencia única de entretenimiento y música cada fin de semana, con shows, animación y performance que te mantendrán en movimiento toda la noche. Además, nuestros DJS expertos tocan los mejores hits actuales y de todos los tiempos, asegurando que la música no pare. En Bowie, la fiesta nunca termina. Nuestra decoración moderna y ambiente vibrante crean un entorno incomparable para disfrutar con amigos de una noche de diversión. Nuestro equipo profesional se asegura de que tengas la mejor experiencia en nuestra discoteca, ofreciéndote servicio de alta calidad y seguridad para tu tranquilidad. No te lo pienses más, ven a Bowie y únete a la fiesta. Descubre por qué somos uno de los lugares más populares para la vida nocturna en Valencia. ¡Te esperamos!","Bowie Show Discotheque, the most vibrant club in downtown Valencia. At Bowie, we offer you a unique entertainment and music experience every weekend, with shows, animation, and performances that will keep you moving all night long. Additionally, our expert DJs play the best current and all-time hits, ensuring that the music never stops. At Bowie, the party never ends. Our modern decoration and vibrant atmosphere create an incomparable environment to enjoy a fun night out with friends. Our professional team ensures that you have the best experience at our discotheque, offering high-quality service and security for your peace of mind. Don't think about it anymore, come to Bowie and join the party. Discover why we are one of the most popular places for nightlife in Valencia. We're waiting for you! Bowie Show Discotheque, the most vibrant club in downtown Valencia. At Bowie, we offer you a unique entertainment and music experience every weekend, with shows, animation, and performances that will keep you moving all night long. Additionally, our expert DJs play the best current and all-time hits, ensuring that the music never stops. At Bowie, the party never ends. Our modern decoration and vibrant atmosphere create an incomparable environment to enjoy a fun night out with friends. Our professional team ensures that you have the best experience at our discotheque, offering high-quality service and security for your peace of mind. Don't think about it anymore, come to Bowie and join the party. Discover why we are one of the most popular places for nightlife in Valencia. We're waiting for you!","Bottle Service, Ticket, Guest List","0.0, 12.0, 220.0","39.4655443,-0.37091799999996","Carrer de Martí, 4, Valencia, Spain","12.0, 220.0",https://images.xceed.me/events/banners/bowie-show-disco-be-the-fucking-boss-3-valencia-xceed-3c11.jpg?w=600&fm=auto,2024-12-04,https://xceed.me/en/valencia/event/bowie-show-disco-be-the-fucking-boss-5--167309,recczQjC52ym1N0Xd,recczQjC52ym1N0Xd,Valencia,Friday,False,39.4655443,-0.37091799999996,l'Eixample
VIERNES | WATEKE. Feel the sound in the city,Tech house,David Cabeza,La3,2024-12-06 18:00:00,2024-12-07 07:00:00,Wateke,"It’s been open for less than 10 years but La3 has quickly become one of the most iconic clubs in Valencia. This club boasts quality sound systems, which have recently been upgraded to the Funktion-One system. The club’s name comes from the 3 rooms within the club: Main Room, Oven Club y Sala2, which have hosted the most famous national and international artists such as Jeff Mills, Nina Kraviz, Laurent Garnier, Seth Troxler, 2manydjs, Vitalic and Flux Pavilion among many others. La3 is not only one of the best party clubs in Valencia but it is a meeting point for true music lovers. In terms of music, La3 is now adding more urban styles such as trap, R&B and hip-hop and the popular Friday night is adapting to the needs of its public, the young and cosmopolitan masses. To satisfy you on Saturday nights, there is a new event at the club called “Electric Saturdays”, where you can enjoy the best national and international techno and house DJs in any of the 3 rooms that the venue boasts. If La3 is known for something in particular, it’s because of its high quality music played weekend after weekend.","Bottle Service, Ticket, Guest List","0.0, 15.0, 19.0, 30.0","39.473577,-0.34458459999996","Avenida Blasco Ibanez 111, Valencia, Spain","0.0, 15.0, 19.0, 30.0",https://images.xceed.me/events/banners/watekefeel-the-sound-in-the-city-52-valencia-xceed-cdfa.jpg?w=600&fm=auto,2024-12-04,https://xceed.me/en/valencia/event/viernes-wateke-feel-the-sound-in-the-city--173557,recPftMJP2fbYYfEt,recPftMJP2fbYYfEt,Valencia,Friday,True,39.473577,-0.34458459999996,Algirós
